id,glo_food_type_id,name ,for_loss,for_maintain,size,cuisine,quantity,calarie,serving,weight,totaldietaryfibre,fat,protein,carbohydrates,carb_type,glycemic_index,carb_perc,fat_perc,protein_perc,cholestrol,sodium,calcium,iron,sugar,vitaminc,insolubledietaryfibre,insolublefibre,solubledietaryfibre,totaldietaryfibrebackup,totalmonounsaturatedfattyacids,totalpolyunsaturatedfattyacids,totalsaturatedfattyacids,totalsaturatedfattyacidsbackup,totaltransfat,high_on_which_macronutrient,raw,dish,m1,m2,m3,m4,m5_loss,m5_gain,m5_stable,summer,winter,autumn,dessert,snaks,nuts,drink,salad,yogurt,solid_meal,fruit,pulses,non_veg_gravy_items,grains_cereals,vegetable,dairy,poultary,seafood,pork,meat,lamb_mutton,beef,other_meat,egg,pulse,cereal_grains,wheat,fruits,vegetables,oils_and_fats,sugars,nut,diabetes,hyper_tension,osteoporosis,lactose_intolerance,gluten_intolerance,anaemia,hypothyroidism,pcod,reciepe,image_name,status_id
23,0,Aloo Karela Sabji,1,0,Katori,Generic,1,219.55,1,150,4.34,8.26,3.32,34.19,0,0,0,0,0,0,1925.02,38.63,2.68,0,59.96,0,0,0,0,3.46,2.53,1.37,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,,1483702402_23.jpg,1
24,0,Aloo Kathal Tarkari,0,0,Katori,Generic,1,257.11,1,150,2.4,21.15,2.44,14.42,0,0,0,0,0,0,478.16,42.97,1.6,0,17.45,0,0,0,0,0.02,0.05,18.05,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,,31.jpg,1
25,0,Aloo Matar Paneer Curry,0,0,Katori,Generic,1,106.73,1,150,2.77,4.68,4.3,12.21,0,0,0,0,0,2.02,508.71,55.71,1.31,0,14.52,0,0,0,0,0.01,0.03,1.9,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,,1483702886_25.jpg,1
26,0,Aloo Methi Ki Sabji,1,0,Katori,Generic,1,167.25,1,150,5.25,8.1,4.65,19.5,0,0,0,0,0,0,266.85,315.6,2.25,0,51.3,0,0,0,5.25,0,0.15,6.15,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,,1483702930_26.jpg,1
27,0,Aloo Methi Parantha,0,0,Pieces,Generic,2,275.98,1,160,6.89,8.58,7.05,42.8,0,0,0,0,0,0,83.23,132.61,2.91,0,23.96,0,0,0,0,0,0,6.75,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,,35.jpg,1
28,0,Aloo Methi Ka Parantha,1,0,Piece,Generic,1,137.99,1,80,3.45,4.29,3.53,21.4,0,0,0,0,0,0,41.61,18.82,0.69,0.01,10.62,0,0,0,0,0.01,0.01,1.02,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,,1483702976_28.jpg,1
29,0,Aloo Mushroom Sabji,1,0,Katori,Generic,1,100.8,1,150,2.28,3.4,2.71,14.65,0,0,0,0,0,0,183.28,35.28,1.3,0.01,19.91,0,0,0,0,0.01,0.02,1.92,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,,1483703008_29.jpg,1
30,0,Aloo Naan,0,0,Pieces,Generic,2,407.06,1,160,2.59,11.04,11.49,63.62,0,0,0,0,0,42.54,549.91,154.91,2.57,0,3.01,0,0,0,0,0.87,0.11,7.88,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,,37.jpg,1
31,0,Aloo Nutrela Subzi,1,0,Katori,Generic,1,191.89,1,150,1.72,11.54,8.87,13.13,0,0,0,0,0,0,646.07,121.99,3.78,0,17.4,0,0,0,0,0,0,9.66,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,,38.jpg,1
32,0,Aloo Pakodi,0,0,Pieces,Generic,5,123.3,1,50,2.3,6.25,3.9,12.75,0,0,0,0,0,0,129.8,31.2,1,0,4.25,0,0,0,2.25,0.25,0.5,4.55,0.1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,,39.jpg,1
